Dog breeds,Mx4rGwcsMFkIQdiMCLmJUEZ9IQ,DogTypeByBreed,0.57022
Japanese people,Mx4rvVjgx5wpEbGdrcN5Y29ycA,JapanesePerson,0.54151
String instruments,Mx4rvVjXt5wpEbGdrcN5Y29ycA,StringInstrument,0.33684
Regions of England,Mx4ryExnZsYEQdieAuHf80YYTw,GovernmentOfficeRegion,0.14286
Science fiction films,Mx4rvgnPiZwpEbGdrcN5Y29ycA,ScienceFictionMovie,0.72678
The Beatles,Mx4rPzreYitqEdiaugAH6RYvVQ,Beatle,0.14851
Hentai,Mx4rvtiOJJwpEbGdrcN5Y29ycA,Hentai,0.00188
Horror films,Mx4rwFmUH5wpEbGdrcN5Y29ycA,HorrorMovie,0.75128
South Asian countries,Mx4rMH__9phpQdiGoqh69-34gg,SouthAsianCountry,0.83333
Comedy films,Mx4rwBoeX5wpEbGdrcN5Y29ycA,ComedyMovie,0.22078
Bass guitarists,Mx8Ngh4rvW-_IZwpEbGdrcN5Y29ycB4rvp9d55wpEbGdrcN5Y29ycA,"[:PlayerOfInstrumentFn, :""BassGuitar-Electric""]",0.856
Pokémon characters,Mx4rwI_EnJwpEbGdrcN5Y29ycA,PokemonCharacter,0.75
Irish people,Mx4rvVioqJwpEbGdrcN5Y29ycA,IrishPerson,0.4457
Action films,Mx4rv2VcW5wpEbGdrcN5Y29ycA,ActionMovie,0.5614
Japanese scientists,Mx8Ngx4rwEcGC5wpEbGdrcN5Y29ycB4rvVjgx5wpEbGdrcN5Y29ycB4rvVj755wpEbGdrcN5Y29ycA,"[:CollectionIntersection2Fn, :JapanesePerson, :Scientist]",0.92891
Chrysler vehicles,Mx4rvViLH5wpEbGdrcN5Y29ycA,ChryslerCar,0.88848
East Asian countries,Mx4r4Lv8vphsQdiR_YfP3ntNlg,EastAsianCountry,0.89744
Southeast Asian countries,Mx4ruRZJFJhqQdiShaBlhJfSFA,SoutheastAsianCountry,0.77953
Television series,Mx4rvj_X65wpEbGdrcN5Y29ycA,TVSeriesProduct,0.44548
British people,Mx4rvVj_jpwpEbGdrcN5Y29ycA,BritishPerson,0.33686
Australian people,Mx4rvVjxIZwpEbGdrcN5Y29ycA,AustralianCitizenOrSubject,0.2551
Shield volcanoes,Mx4rH6ADSDPGEduAAAACs6hRXg,ShieldVolcano,0.06486
Swedish people,Mx4rvViVX5wpEbGdrcN5Y29ycA,SwedishPerson,0.26702
Fantasy writers,Mx4rv1OBhpwpEbGdrcN5Y29ycA,FantasyWriter,0.42857
Finnish people,Mx4rvViFKJwpEbGdrcN5Y29ycA,FinnishPerson,0.21381
Norwegian people,Mx4rvVjPSJwpEbGdrcN5Y29ycA,NorwegianPerson,0.52952
Danish people,Mx4rvViHWJwpEbGdrcN5Y29ycA,DanishPerson,0.27075
French people,Mx4rwQw1P5wpEbGdrcN5Y29ycA,FrenchPerson,0.39509
Constructed languages,Mx4rvhTVd5wpEbGdrcN5Y29ycA,ConstructedHumanLanguage,0.33475
Indo-European languages,Mx4rvViPUpwpEbGdrcN5Y29ycA,Indo-EuropeanLanguageFamily,0.66038
Heads of government,Mx4rvVkBQ5wpEbGdrcN5Y29ycA,HeadOfGovernment,0.22409
Romance languages,Mx4rvex51pwpEbGdrcN5Y29ycA,RomanceLanguageFamily,0.26613
Germanic languages,Mx4rvVjPEpwpEbGdrcN5Y29ycA,GermanicLanguageFamily,0.46809
Italic languages,Mx4rvViyaJwpEbGdrcN5Y29ycA,ItalicLanguageFamily,0.51064
Slavic languages,Mx4rvVj8kpwpEbGdrcN5Y29ycA,SlavicLanguageFamily,0.40449
Sino-Tibetan languages,Mx4rvVjrbJwpEbGdrcN5Y29ycA,Sino-TibetanLanguageFamily,0.5122
Transition metals,Mx4rrjGFaiZZQdeCVt61OzI1NQ,TransitionMetalElementType,0.8
German people,Mx4rvVkMGZwpEbGdrcN5Y29ycA,GermanPerson,0.40226
Baltic languages,Mx4rvViQm5wpEbGdrcN5Y29ycA,BalticLanguageFamily,0.94444
Medical treatments,Mx4rvVi6T5wpEbGdrcN5Y29ycA,MedicalTreatmentEvent,0.18033
Software companies,Mx4rv_2oMpwpEbGdrcN5Y29ycA,SoftwareVendor,0.78947
Altaic languages,Mx4rvVkK75wpEbGdrcN5Y29ycA,AltaicLanguageFamily,0.7381
Macrolide antibiotics,Mx4rvV_qvZwpEbGdrcN5Y29ycA,MacrolideAntibiotic,0.04444
Tetracycline antibiotics,Mx4rvWW-gZwpEbGdrcN5Y29ycA,TetracyclineAntibiotic,0.70833
SI units,Mx4rvVkBypwpEbGdrcN5Y29ycA,MKSUnitOfMeasure,0.0
Arcade games,Mx4rwNxP05wpEbGdrcN5Y29ycA,ArcadeGameProgram,0.91186
Role-playing games,Mx4rwMbr4ZwpEbGdrcN5Y29ycA,RoleplayingGameProgram,0.63294
Television actors,Mx4rvef1DJwpEbGdrcN5Y29ycA,ActorOnTV,0.6875
Dutch people,Mx4rvViNRpwpEbGdrcN5Y29ycA,DutchPerson,0.15907
Academic institutions,Mx4rvViNQZwpEbGdrcN5Y29ycA,EducationalOrganization,0.65699
Estonian people,Mx4rwDyg7pwpEbGdrcN5Y29ycA,EstonianPerson,0.20468
Research institutes,Mx4rvViNhJwpEbGdrcN5Y29ycA,ResearchOrganization,0.58986
Laos,Mx4rvViyWpwpEbGdrcN5Y29ycA,LaotianPerson,0.07609
Baltic states,Mx4rAku69DVzEduAAAACs6hRXg,BalticState,0.0
Trans-Neptunian objects,Mx4rMU7vYDGVEduAAAACs6hRXg,TransNeptunianObject,0.0
Communist parties,Mx4rvViyzZwpEbGdrcN5Y29ycA,CommunistParty,0.77447
Manga,Mx4rv-znjZwpEbGdrcN5Y29ycA,Manga,0.86767
Latvian people,Mx4rKhblVv_wQdeKUeRWYuNaww,LatvianPerson,0.2069
Palestinian people,Mx4rvYZfgpwpEbGdrcN5Y29ycA,PalestinianPerson,0.375
South African people,Mx4rvViFIJwpEbGdrcN5Y29ycA,SouthAfricanPerson,0.23829
English people,Mx4rvVi7HpwpEbGdrcN5Y29ycA,EnglishPerson,0.45641
Formal languages,Mx4rv8zbW5wpEbGdrcN5Y29ycA,FormalLanguage,0.28788
Nauruan people,Mx4rvVkBF5wpEbGdrcN5Y29ycA,NauruanPerson,0.27273
Chinese people,Mx4rvVi2CpwpEbGdrcN5Y29ycA,ChinesePerson,0.23121
Hong Kong people,Mx4rvViMPpwpEbGdrcN5Y29ycA,HongKongPerson,0.36578
Manufactured goods,Mx4rvf-bUJwpEbGdrcN5Y29ycA,ManufacturedGoods,0.06478
Ice hockey players,Mx4rvVjL0JwpEbGdrcN5Y29ycA,IceHockeyPlayer,0.81181
Ice hockey teams,Mx4rwQr-W5wpEbGdrcN5Y29ycA,IceHockeyTeam,0.84545
Canadian people,Mx4rvVimIZwpEbGdrcN5Y29ycA,CanadianPerson,0.46667
Units of volume,Mx4rvVj9n5wpEbGdrcN5Y29ycA,UnitOfVolume,0.21739
Opera singers,Mx4rwDAgt5wpEbGdrcN5Y29ycA,OperaSinger,0.95
Linux distributions,Mx4rwUCtxpwpEbGdrcN5Y29ycA,LinuxOS,0.91513
Semitic languages,Mx4rvVixCJwpEbGdrcN5Y29ycA,SemiticLanguageFamily,0.58621
Afro-Asiatic languages,Mx4rvVifuZwpEbGdrcN5Y29ycA,AfroasiaticLanguageFamily,0.83571
Celtic languages,Mx4rvVjxUJwpEbGdrcN5Y29ycA,CelticLanguageFamily,0.39583
Winter sports,Mx4rwQtyCpwpEbGdrcN5Y29ycA,WinterSport,0.14394
Terrorist incidents,Mx4rvViTlZwpEbGdrcN5Y29ycA,TerroristAct,0.06122
Sports leagues,Mx4rvVjbp5wpEbGdrcN5Y29ycA,SportsLeague,0.46988
Copyright licenses,Mx4rvViz-JwpEbGdrcN5Y29ycA,CopyrightLicense,0.0
Calcium channel blockers,Mx4rwIuTDpwpEbGdrcN5Y29ycA,CalciumChannelBlocker,0.94444
Television networks,Mx4rwQCRtJwpEbGdrcN5Y29ycA,TelevisionNetwork,0.15789
Combat sports,Mx4rvVjEOpwpEbGdrcN5Y29ycA,CombatSportsEvent,0.09302
Ford vehicles,Mx4rvVifqJwpEbGdrcN5Y29ycA,FordCar,0.90659
Adventure films,Mx4rvgx-T5wpEbGdrcN5Y29ycA,AdventureMovie,0.81067
Baseball positions,Mx4rwTOvI5wpEbGdrcN5Y29ycA,BaseballPlayerTypeByPosition,0.27586
Landforms,Mx4rvVjORZwpEbGdrcN5Y29ycA,TopographicalFeature,0.6936
Declarative programming languages,Mx4r1rZxZHS-EdaAAACgyZzFrg,DeclarativeProgrammingLanguage,0.69347
Video game consoles,Mx4rvbT2xZwpEbGdrcN5Y29ycA,VideoGameSystem,0.04734
Mystery writers,Mx4rwG75I5wpEbGdrcN5Y29ycA,MysteryWriter,0.53147
Natural history museums,Mx4rO-dZhp4DQdeHeKXSxsqlmQ,NaturalHistoryMuseum-Organization,0.10687
Cities in the United States,Mx4rvViEwJwpEbGdrcN5Y29ycA,USCity,0.48099
Thai people,Mx4rvVjkhpwpEbGdrcN5Y29ycA,ThaiPerson,0.32593
Artificial intelligence researchers,Mx4r820E3m3fEdaAAABQ2sS97g,ArtificialIntelligenceResearcher,0.95
Russian people,Mx4rvgD1_JwpEbGdrcN5Y29ycA,RussianPerson,0.20472
Slovenian people,Mx4rZzeHAnKWEdyAAAACs6hnlQ,SlovenianPerson,0.24277
Egyptian people,Mx4rvViHn5wpEbGdrcN5Y29ycA,EgyptianPerson,0.26791
Electrical components,Mx4rvVjUFJwpEbGdrcN5Y29ycA,ElectricalComponent,0.31902
Cat breeds,Mx4rvhsL-ZwpEbGdrcN5Y29ycA,CatTypeByBreed,0.51282
Natural hazards,Mx4rv3hz-pwpEbGdrcN5Y29ycA,NaturalHazard,0.32394
ISO standards,Mx4rwSMfMJwpEbGdrcN5Y29ycA,ISOStandard,0.25
Astronomical observatories,Mx4rwQCNdpwpEbGdrcN5Y29ycA,AstronomicalObservatory,0.22951
Trick-taking card games,Mx4rv0AdNJwpEbGdrcN5Y29ycA,TrickTakingCardGame,0.36
