Chemical elements,Mx4rvVkIuZwpEbGdrcN5Y29ycA,ElementStuff
Chess players,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Physics,Mx4rvVi3_JwpEbGdrcN5Y29ycA,ScientificFieldOfStudy,Mx4rvViOapwpEbGdrcN5Y29ycA,Physics
Optics,Mx4rvVi3_JwpEbGdrcN5Y29ycA,ScientificFieldOfStudy,Mx4rqs8mVL8bEdmAAAACs6hRjg,AttributeCharacteristicOfAnEntity
Statistics,Mx4rvVjHd5wpEbGdrcN5Y29ycA,Mathematics
Keyboard instruments,Mx4rvVjI6JwpEbGdrcN5Y29ycA,MusicalInstrument
Social sciences,Mx4rvgPZF5wpEbGdrcN5Y29ycA,SocialScienceType
Chess openings,Mx4r4CJeFrviEdmAAAACs6hRjg,Organization-AnimalActivity
Aromatic hydrocarbons,Mx4rvkgfqJwpEbGdrcN5Y29ycA,Hydrocarbon
Baseball leagues,Mx4rvVjbp5wpEbGdrcN5Y29ycA,SportsLeague
Partial differential equations,Mx4rLoJQoM3nEdmAAAACs6hRjg,DifferentialEquation
Jazz musicians,Mx4rvVjqXpwpEbGdrcN5Y29ycA,MusicalPerformer
Mass media,Mx4rvViN65wpEbGdrcN5Y29ycA,HumanActivity
Natural sciences,Mx4rvVi3_JwpEbGdrcN5Y29ycA,ScientificFieldOfStudy
Applied sciences,Mx4rvVimNZwpEbGdrcN5Y29ycA,EngineeringField
Atomic physics,Mx4rvVi3_JwpEbGdrcN5Y29ycA,ScientificFieldOfStudy
Minor planets,Mx4rvVjB1JwpEbGdrcN5Y29ycA,Asteroid
Wales,Mx4rvVitvJwpEbGdrcN5Y29ycA,Wales
Logical fallacies,Mx4rYE1C0EPuQdmEO6TZe_7NPA,Idea
Database management systems,Mx4rwJxiRJwpEbGdrcN5Y29ycA,ComputerProgram-CW
Speed skaters,Mx4rvVi--5wpEbGdrcN5Y29ycA,Athlete
Literary critics,Mx4rxLwPEBPHQdiOxIH5gWCidg,Critic
Legendary creatures,Mx4rQTYcWMsYEdmAAAACs6hRjg,MythicalMonster
Home computers,Mx4rvVjXzZwpEbGdrcN5Y29ycA,Computer
Art critics,Mx4rxLwPEBPHQdiOxIH5gWCidg,Critic
War gods,Mx4rvVjrCJwpEbGdrcN5Y29ycA,God
Chad,Mx4rvVibNJwpEbGdrcN5Y29ycA,Paper,Mx4rvVi4IpwpEbGdrcN5Y29ycA,Lake,Mx4rvViCj5wpEbGdrcN5Y29ycA,Chad,Mx4rvVifuZwpEbGdrcN5Y29ycA,AfroasiaticLanguageFamily
Rock operas,Mx4rcNoo_rtWEdmAAAACs6hRjg,InstrumentalArtifact
Peace treaties,Mx4rwD8ghJwpEbGdrcN5Y29ycA,Treaty
Concept albums,Mx4rcNoo_rtWEdmAAAACs6hRjg,InstrumentalArtifact
Tribute albums,Mx4rcNoo_rtWEdmAAAACs6hRjg,InstrumentalArtifact
Gauls,Mx4rwQw1P5wpEbGdrcN5Y29ycA,FrenchPerson,Mx4rv9HQxJwpEbGdrcN5Y29ycA,EthnicGroupOfCelts,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Tricyclic antidepressants,Mx4rvWUZl5wpEbGdrcN5Y29ycA,Antidepressant
Monoamine oxidase inhibitors,Mx4rvWUZl5wpEbGdrcN5Y29ycA,Antidepressant
